排名,代码,简称,收盘（元）,权数（%）,涨跌,涨跌幅（%）,指数贡献点,成交量（万股）,成交额（万元）,总股本（亿股）,流通股本,总市值,流通市值,证监会行业,wind行业
136,000423.SZ,东阿阿胶,49.18 ,0.22 ,-0.61 ,-1.23 ,-0.11 ,"2,364.54 ","116,468.59 ",6.54 ,5.02 ,321.65 ,247.06 ,医药制造业,医疗保健
137,000425.SZ,徐工机械,15.73 ,0.22 ,-0.16 ,-1.01 ,-0.09 ,"12,905.00 ","204,219.81 ",23.61 ,13.20 ,371.45 ,207.60 ,专用设备制造业,工业
138,002236.SZ,大华股份,36.70 ,0.22 ,-1.22 ,-3.22 ,-0.29 ,"2,892.10 ","106,324.41 ",11.70 ,5.08 ,429.49 ,186.33 ,计算机、通信和其他电子设备制造业,信息技术
139,300058.SZ,蓝色光标,31.02 ,0.22 ,-0.88 ,-2.76 ,-0.25 ,"3,496.95 ","109,438.69 ",9.65 ,5.54 ,299.28 ,171.74 ,商务服务业,可选消费
140,600875.SH,东方电气,27.76 ,0.22 ,-0.93 ,-3.24 ,-0.29 ,"13,882.13 ","382,864.98 ",23.37 ,9.95 ,648.72 ,276.19 ,通用设备制造业,工业
141,601607.SH,上海医药,27.24 ,0.22 ,1.05 ,4.01 ,0.35 ,"6,466.04 ","171,570.75 ",26.89 ,9.84 ,732.46 ,268.07 ,零售业,医疗保健
142,601727.SH,上海电气,18.75 ,0.22 ,-0.24 ,-1.26 ,-0.11 ,"55,839.61 ","1,031,404.90 ",128.24 ,27.42 ,"2,404.43 ",514.04 ,通用设备制造业,工业
143,000061.SZ,农产品,19.06 ,0.21 ,-0.54 ,-2.76 ,-0.23 ,"3,781.19 ","72,220.66 ",16.97 ,11.81 ,323.44 ,225.05 ,商务服务业,日常消费
144,000581.SZ,威孚高科,38.10 ,0.21 ,2.48 ,6.96 ,0.59 ,"4,471.13 ","163,592.05 ",10.20 ,5.28 ,388.70 ,201.34 ,汽车制造业,可选消费
145,600118.SH,中国卫星,37.70 ,0.21 ,0.30 ,0.80 ,0.07 ,"3,896.97 ","147,813.59 ",11.82 ,5.71 ,445.80 ,215.26 ,计算机、通信和其他电子设备制造业,工业
146,600208.SH,新湖中宝,9.16 ,0.21 ,-0.30 ,-3.17 ,-0.27 ,"16,027.38 ","146,785.95 ",81.38 ,18.84 ,745.45 ,172.55 ,房地产业,金融
147,600741.SH,华域汽车,23.55 ,0.21 ,1.56 ,7.09 ,0.60 ,"11,315.03 ","265,941.09 ",25.83 ,10.31 ,608.34 ,242.74 ,汽车制造业,可选消费
148,601633.SH,长城汽车,56.51 ,0.21 ,-1.66 ,-2.85 ,-0.24 ,923.06 ,"51,832.12 ",30.42 ,3.04 ,"1,719.27 ",171.93 ,汽车制造业,可选消费
149,601888.SH,中国国旅,51.36 ,0.21 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,9.76 ,3.43 ,501.40 ,176.27 ,商务服务业,可选消费
150,000039.SZ,中集集团,26.24 ,0.20 ,-0.91 ,-3.35 ,-0.27 ,"4,011.72 ","105,884.00 ",26.73 ,8.09 ,701.30 ,212.37 ,金属制品业,工业
151,000413.SZ,东旭光电,12.44 ,0.20 ,0.12 ,0.97 ,0.08 ,"16,721.18 ","207,292.18 ",26.62 ,16.86 ,331.16 ,209.77 ,计算机、通信和其他电子设备制造业,信息技术
152,000831.SZ,五矿稀土,38.64 ,0.20 ,-1.26 ,-3.16 ,-0.25 ,"7,889.34 ","305,993.70 ",9.81 ,5.69 ,379.02 ,220.00 ,有色金属冶炼和压延加工业,材料
153,002385.SZ,大北农,25.67 ,0.20 ,-0.33 ,-1.27 ,-0.10 ,"5,734.50 ","148,375.74 ",16.65 ,7.91 ,427.40 ,203.05 ,农副食品加工业,日常消费
154,300017.SZ,网宿科技,52.85 ,0.20 ,2.48 ,4.92 ,0.40 ,"5,082.77 ","265,330.43 ",6.98 ,4.33 ,369.02 ,228.59 ,软件和信息技术服务业,信息技术
155,300124.SZ,汇川技术,42.48 ,0.20 ,0.29 ,0.69 ,0.06 ,"2,638.00 ","114,596.93 ",7.83 ,3.70 ,332.41 ,157.13 ,电气机械和器材制造业,工业
156,600018.SH,上港集团,10.53 ,0.20 ,0.37 ,3.64 ,0.29 ,"40,671.96 ","431,954.01 ",227.55 ,23.21 ,"2,396.12 ",244.45 ,水上运输业,工业
157,600547.SH,山东黄金,30.02 ,0.20 ,-0.56 ,-1.83 ,-0.15 ,"4,814.26 ","144,545.10 ",14.23 ,6.92 ,427.21 ,207.71 ,有色金属矿采选业,材料
158,601117.SH,中国化学,12.62 ,0.20 ,-0.50 ,-3.81 ,-0.31 ,"26,595.18 ","336,682.63 ",49.33 ,16.92 ,622.54 ,213.56 ,土木工程建筑业,工业
159,601168.SH,西部矿业,12.22 ,0.20 ,-0.19 ,-1.53 ,-0.12 ,"12,709.46 ","156,701.87 ",23.83 ,17.11 ,291.20 ,209.05 ,有色金属矿采选业,材料
160,000709.SZ,河北钢铁,5.77 ,0.19 ,-0.14 ,-2.37 ,-0.18 ,"41,870.95 ","240,644.85 ",106.19 ,36.95 ,612.69 ,213.20 ,黑色金属冶炼和压延加工业,材料
161,000792.SZ,盐湖股份,30.20 ,0.19 ,0.02 ,0.07 ,0.00 ,"2,580.34 ","77,393.37 ",15.91 ,5.77 ,480.33 ,174.17 ,化学原料和化学制品制造业,材料
162,000839.SZ,中信国安,19.60 ,0.19 ,0.38 ,1.98 ,0.15 ,"7,176.60 ","137,536.32 ",15.68 ,9.96 ,307.31 ,195.26 ,电信、广播电视和卫星传输服务,可选消费
163,002353.SZ,杰瑞股份,40.27 ,0.19 ,-0.60 ,-1.47 ,-0.11 ,"3,233.38 ","130,461.62 ",9.60 ,4.51 ,386.55 ,181.70 ,专用设备制造业,能源
164,002400.SZ,省广股份,37.49 ,0.19 ,-1.52 ,-3.90 ,-0.30 ,"1,688.13 ","63,546.97 ",6.03 ,4.30 ,226.12 ,161.04 ,商务服务业,可选消费
165,002673.SZ,西部证券,67.44 ,0.19 ,-0.25 ,-0.37 ,-0.03 ,"5,743.58 ","386,662.26 ",13.98 ,4.41 ,942.67 ,297.11 ,资本市场服务,金融
166,600060.SH,海信电器,27.64 ,0.19 ,2.51 ,9.99 ,0.77 ,"6,329.56 ","171,754.69 ",13.08 ,7.20 ,361.66 ,199.04 ,计算机、通信和其他电子设备制造业,可选消费
167,600079.SH,人福医药,36.05 ,0.19 ,1.66 ,4.83 ,0.37 ,"2,823.20 ","99,136.67 ",6.43 ,4.38 ,231.81 ,158.08 ,医药制造业,医疗保健
168,600252.SH,中恒集团,22.50 ,0.19 ,1.21 ,5.68 ,0.44 ,"8,372.05 ","184,472.39 ",11.58 ,8.46 ,260.63 ,190.32 ,医药制造业,医疗保健
169,600332.SH,白云山,37.65 ,0.19 ,-1.05 ,-2.71 ,-0.21 ,"2,238.10 ","84,405.10 ",12.91 ,4.87 ,486.19 ,183.44 ,医药制造业,医疗保健
170,600489.SH,中金黄金,14.20 ,0.19 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,29.43 ,14.71 ,417.94 ,208.93 ,有色金属矿采选业,材料
171,000568.SZ,泸州老窖,26.03 ,0.18 ,-0.78 ,-2.91 ,-0.21 ,"3,139.33 ","82,499.98 ",14.02 ,6.46 ,365.01 ,168.04 ,酒、饮料和精制茶制造业,日常消费
172,000629.SZ,攀钢钒钛,5.72 ,0.18 ,0.19 ,3.44 ,0.25 ,"75,333.20 ","438,201.99 ",85.90 ,35.49 ,491.33 ,202.98 ,黑色金属矿采选业,材料
173,000793.SZ,华闻传媒,15.66 ,0.18 ,-0.35 ,-2.19 ,-0.16 ,"7,303.70 ","114,444.08 ",20.51 ,13.89 ,321.22 ,217.57 ,新闻和出版业,可选消费
174,000917.SZ,电广传媒,29.37 ,0.18 ,2.67 ,10.00 ,0.73 ,"14,351.83 ","404,609.99 ",14.18 ,10.52 ,416.34 ,308.88 ,电信、广播电视和卫星传输服务,可选消费
175,000960.SZ,锡业股份,22.61 ,0.18 ,-0.84 ,-3.58 ,-0.26 ,"4,770.55 ","108,690.06 ",11.51 ,6.93 ,260.29 ,156.76 ,有色金属冶炼和压延加工业,材料
176,000970.SZ,中科三环,22.95 ,0.18 ,-0.40 ,-1.71 ,-0.12 ,"5,857.48 ","133,882.56 ",10.65 ,8.18 ,244.46 ,187.81 ,计算机、通信和其他电子设备制造业,信息技术
177,002008.SZ,大族激光,28.45 ,0.18 ,2.59 ,10.02 ,0.73 ,"11,058.99 ","296,716.38 ",10.56 ,7.68 ,300.42 ,218.59 ,专用设备制造业,信息技术
178,002142.SZ,宁波银行,18.82 ,0.18 ,-0.53 ,-2.74 ,-0.20 ,"6,817.55 ","129,317.49 ",32.50 ,12.99 ,611.62 ,244.40 ,货币金融服务,金融
179,600085.SH,同仁堂,32.14 ,0.18 ,-0.92 ,-2.78 ,-0.20 ,"1,720.83 ","55,698.29 ",13.71 ,6.52 ,440.79 ,209.60 ,医药制造业,医疗保健
180,600115.SH,东方航空,8.60 ,0.18 ,0.78 ,9.97 ,0.72 ,"13,805.09 ","118,690.51 ",126.74 ,29.51 ,"1,089.99 ",253.77 ,航空运输业,工业
181,600362.SH,江西铜业,23.86 ,0.18 ,-0.40 ,-1.65 ,-0.12 ,"9,575.14 ","228,732.58 ",34.63 ,8.66 ,826.21 ,206.59 ,有色金属冶炼和压延加工业,材料
182,600642.SH,申能股份,10.19 ,0.18 ,-0.39 ,-3.69 ,-0.27 ,"14,819.45 ","151,569.00 ",45.52 ,22.29 ,463.85 ,227.17 ,燃气生产和供应业,工业
183,000060.SZ,中金岭南,19.20 ,0.17 ,-0.40 ,-2.04 ,-0.14 ,"8,576.24 ","164,293.15 ",22.13 ,12.45 ,424.82 ,239.09 ,有色金属冶炼和压延加工业,材料
184,000400.SZ,许继电气,30.02 ,0.17 ,-0.70 ,-2.28 ,-0.16 ,"3,715.26 ","112,519.42 ",10.08 ,5.95 ,302.70 ,178.48 ,电气机械和器材制造业,工业
185,000559.SZ,万向钱潮,19.02 ,0.17 ,-0.24 ,-1.25 ,-0.08 ,"6,065.31 ","115,046.30 ",19.12 ,9.22 ,363.65 ,175.33 ,汽车制造业,可选消费
186,000750.SZ,国海证券,19.57 ,0.17 ,-0.58 ,-2.88 ,-0.20 ,"8,310.86 ","163,284.11 ",23.10 ,12.37 ,452.14 ,242.16 ,资本市场服务,金融
187,002456.SZ,欧菲光,27.21 ,0.17 ,1.13 ,4.33 ,0.30 ,"6,018.42 ","159,145.83 ",10.31 ,5.96 ,280.43 ,162.23 ,计算机、通信和其他电子设备制造业,可选消费
188,002500.SZ,山西证券,23.39 ,0.17 ,1.06 ,4.75 ,0.33 ,"18,824.29 ","435,876.00 ",25.19 ,10.49 ,589.13 ,245.46 ,资本市场服务,金融
189,600372.SH,中航电子,35.11 ,0.17 ,0.78 ,2.27 ,0.16 ,"4,188.55 ","148,447.31 ",17.59 ,4.40 ,617.64 ,154.50 ,铁路、船舶、航空航天和其他运输设备制造业,工业
190,601179.SH,中国西电,12.07 ,0.17 ,-0.21 ,-1.71 ,-0.12 ,"17,965.06 ","214,004.46 ",51.26 ,17.38 ,618.69 ,209.74 ,电气机械和器材制造业,工业
191,601333.SH,广深铁路,6.36 ,0.17 ,-0.21 ,-3.20 ,-0.22 ,"23,778.18 ","150,928.11 ",70.84 ,30.23 ,450.51 ,192.25 ,铁路运输业,工业
192,601866.SH,中海集运,9.50 ,0.17 ,0.66 ,7.47 ,0.51 ,"54,347.85 ","507,160.92 ",116.83 ,25.70 ,"1,109.90 ",244.18 ,水上运输业,工业
193,000598.SZ,兴蓉投资,10.74 ,0.16 ,0.39 ,3.77 ,0.24 ,"19,931.03 ","210,825.66 ",29.86 ,17.31 ,320.72 ,185.86 ,水的生产和供应业,公用事业
194,000800.SZ,一汽轿车,24.15 ,0.16 ,1.37 ,6.01 ,0.39 ,"6,742.23 ","157,982.15 ",16.28 ,7.65 ,393.04 ,184.63 ,汽车制造业,可选消费
195,002252.SZ,上海莱士,64.03 ,0.16 ,0.77 ,1.22 ,0.08 ,445.50 ,"28,009.79 ",13.65 ,2.44 ,874.16 ,155.96 ,医药制造业,医疗保健
196,002410.SZ,广联达,42.45 ,0.16 ,-1.03 ,-2.37 ,-0.15 ,995.77 ,"42,178.91 ",7.52 ,3.40 ,319.33 ,144.29 ,软件和信息技术服务业,信息技术
197,600108.SH,亚盛集团,11.03 ,0.16 ,-0.23 ,-2.04 ,-0.13 ,"16,684.95 ","184,525.07 ",19.47 ,14.82 ,214.74 ,163.51 ,农业,日常消费
198,600170.SH,上海建工,13.12 ,0.16 ,-0.31 ,-2.31 ,-0.15 ,"7,415.83 ","97,154.00 ",45.72 ,9.78 ,599.81 ,128.35 ,土木工程建筑业,工业
199,600663.SH,陆家嘴,43.22 ,0.16 ,1.26 ,3.00 ,0.19 ,"2,246.61 ","95,514.87 ",18.68 ,2.82 ,807.21 ,121.68 ,房地产业,金融
200,601098.SH,中南传媒,23.09 ,0.16 ,-0.26 ,-1.11 ,-0.07 ,"1,703.78 ","39,246.26 ",17.96 ,6.34 ,414.70 ,146.42 ,新闻和出版业,可选消费
201,601111.SH,中国国航,11.96 ,0.16 ,0.87 ,7.84 ,0.50 ,"21,131.61 ","242,689.87 ",130.85 ,17.62 ,"1,564.94 ",210.74 ,航空运输业,工业
202,603000.SH,人民网,64.23 ,0.16 ,1.93 ,3.10 ,0.20 ,"1,837.65 ","115,797.60 ",5.53 ,2.23 ,355.09 ,143.26 ,互联网和相关服务,信息技术
203,000826.SZ,桑德环境,39.42 ,0.15 ,-0.80 ,-1.99 ,-0.12 ,"2,124.72 ","83,785.11 ",8.46 ,4.62 ,333.59 ,181.97 ,生态保护和环境治理业,公用事业
204,002038.SZ,双鹭药业,55.92 ,0.15 ,-1.23 ,-2.15 ,-0.13 ,941.96 ,"52,894.79 ",4.57 ,2.55 ,255.46 ,142.64 ,医药制造业,医疗保健
205,002129.SZ,中环股份,53.00 ,0.15 ,4.82 ,10.00 ,0.60 ,"1,927.76 ","102,020.58 ",10.44 ,4.05 ,553.19 ,214.63 ,电气机械和器材制造业,信息技术
206,002153.SZ,石基信息,109.90 ,0.15 ,-5.49 ,-4.76 ,-0.29 ,438.87 ,"48,080.30 ",3.09 ,1.01 ,339.72 ,111.51 ,软件和信息技术服务业,信息技术
207,002422.SZ,科伦药业,40.38 ,0.15 ,-0.95 ,-2.30 ,-0.14 ,"1,344.13 ","54,088.71 ",7.20 ,3.18 ,290.74 ,128.40 ,医药制造业,医疗保健
208,300251.SZ,光线传媒,32.65 ,0.15 ,-0.92 ,-2.74 ,-0.17 ,"2,363.84 ","77,574.64 ",11.28 ,7.55 ,368.39 ,246.46 ,广播、电视、电影和影视录音制作业,可选消费
209,600008.SH,首创股份,16.14 ,0.15 ,0.19 ,1.19 ,0.07 ,"7,618.53 ","122,198.07 ",24.10 ,8.91 ,389.02 ,143.76 ,水的生产和供应业,公用事业
210,600027.SH,华电国际,8.69 ,0.15 ,-0.09 ,-1.03 ,-0.06 ,"15,707.83 ","136,987.05 ",88.07 ,18.82 ,765.35 ,163.58 ,电力、热力生产和供应业,公用事业
211,600316.SH,洪都航空,36.00 ,0.15 ,0.34 ,0.95 ,0.06 ,"4,319.75 ","156,482.37 ",7.17 ,3.73 ,258.16 ,134.21 ,铁路、船舶、航空航天和其他运输设备制造业,工业
212,600600.SH,青岛啤酒,46.02 ,0.15 ,-0.37 ,-0.80 ,-0.05 ,901.31 ,"41,578.89 ",13.51 ,2.91 ,621.72 ,133.82 ,酒、饮料和精制茶制造业,日常消费
213,600655.SH,豫园商城,19.34 ,0.15 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,14.37 ,9.12 ,277.98 ,176.40 ,零售业,可选消费
214,600827.SH,百联股份,20.21 ,0.15 ,1.84 ,10.02 ,0.60 ,76.00 ,"1,536.05 ",17.22 ,6.92 ,348.12 ,139.77 ,零售业,日常消费
215,600867.SH,通化东宝,26.25 ,0.15 ,0.37 ,1.43 ,0.08 ,"2,357.70 ","61,664.53 ",10.30 ,6.41 ,270.40 ,168.18 ,医药制造业,医疗保健
216,000778.SZ,新兴铸管,8.07 ,0.14 ,-0.29 ,-3.47 ,-0.20 ,"19,610.10 ","159,265.28 ",36.43 ,19.89 ,294.01 ,160.51 ,金属制品业,材料
217,000883.SZ,湖北能源,6.43 ,0.14 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,53.49 ,17.99 ,343.92 ,115.68 ,电力、热力生产和供应业,公用事业
218,000963.SZ,华东医药,70.42 ,0.14 ,-2.08 ,-2.87 ,-0.16 ,603.28 ,"42,768.95 ",4.34 ,2.03 ,305.67 ,142.97 ,零售业,医疗保健
219,002344.SZ,海宁皮城,24.28 ,0.14 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,11.20 ,4.42 ,271.94 ,107.38 ,商务服务业,金融
220,600497.SH,驰宏锌锗,16.21 ,0.14 ,-0.54 ,-3.22 ,-0.18 ,"7,906.92 ","128,581.79 ",16.68 ,8.38 ,270.31 ,135.85 ,有色金属矿采选业,材料
221,600516.SH,方大炭素,13.04 ,0.14 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,17.19 ,10.08 ,224.18 ,131.47 ,非金属矿物制品业,材料
222,600633.SH,浙报传媒,25.72 ,0.14 ,-0.63 ,-2.39 ,-0.13 ,"3,462.13 ","89,619.02 ",11.88 ,4.92 ,305.63 ,126.42 ,新闻和出版业,可选消费
223,600863.SH,内蒙华电,6.11 ,0.14 ,-0.11 ,-1.77 ,-0.10 ,"17,219.57 ","105,729.27 ",58.08 ,25.19 ,354.85 ,153.92 ,电力、热力生产和供应业,公用事业
224,600873.SH,梅花生物,11.10 ,0.14 ,-0.34 ,-2.97 ,-0.17 ,"14,251.80 ","157,617.77 ",31.08 ,17.61 ,345.01 ,195.49 ,食品制造业,日常消费
225,000630.SZ,铜陵有色,16.93 ,0.13 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,19.12 ,6.65 ,323.72 ,112.64 ,有色金属冶炼和压延加工业,材料
226,000729.SZ,燕京啤酒,10.68 ,0.13 ,-0.01 ,-0.09 ,0.00 ,"4,214.12 ","44,878.61 ",28.10 ,11.39 ,300.07 ,121.66 ,酒、饮料和精制茶制造业,日常消费
227,000825.SZ,太钢不锈,8.31 ,0.13 ,0.38 ,4.79 ,0.25 ,"58,660.16 ","489,652.76 ",56.96 ,20.37 ,473.36 ,169.26 ,黑色金属冶炼和压延加工业,材料
228,000876.SZ,新希望,24.00 ,0.13 ,0.89 ,3.85 ,0.20 ,"8,080.11 ","189,177.13 ",20.84 ,9.27 ,500.19 ,222.49 ,农副食品加工业,日常消费
229,000983.SZ,西山煤电,9.64 ,0.13 ,-0.19 ,-1.93 ,-0.10 ,"13,391.56 ","130,671.67 ",31.51 ,14.37 ,303.78 ,138.52 ,煤炭开采和洗选业,能源
230,002007.SZ,华兰生物,52.80 ,0.13 ,3.10 ,6.24 ,0.33 ,"2,067.97 ","106,027.94 ",5.81 ,3.10 ,306.93 ,163.57 ,医药制造业,医疗保健
231,002570.SZ,贝因美,20.89 ,0.13 ,0.88 ,4.40 ,0.23 ,"4,541.77 ","92,845.57 ",10.23 ,4.98 ,213.60 ,104.08 ,食品制造业,日常消费
232,600143.SH,金发科技,9.75 ,0.13 ,-0.42 ,-4.13 ,-0.22 ,"10,864.57 ","106,401.33 ",25.60 ,15.29 ,249.60 ,149.09 ,橡胶和塑料制品业,材料
233,600157.SH,永泰能源,8.17 ,0.13 ,-0.30 ,-3.54 ,-0.19 ,"16,845.99 ","138,269.86 ",86.11 ,20.90 ,703.54 ,170.74 ,煤炭开采和洗选业,能源
234,600166.SH,福田汽车,8.82 ,0.13 ,-0.10 ,-1.12 ,-0.06 ,"11,469.10 ","100,632.13 ",33.35 ,17.36 ,294.15 ,153.13 ,汽车制造业,可选消费
235,600549.SH,厦门钨业,41.72 ,0.13 ,-1.86 ,-4.27 ,-0.23 ,"3,529.20 ","148,760.50 ",8.32 ,3.23 ,347.10 ,134.69 ,有色金属冶炼和压延加工业,材料
236,601216.SH,内蒙君正,24.21 ,0.13 ,2.20 ,10.00 ,0.52 ,"7,964.34 ","186,466.49 ",20.48 ,5.48 ,495.82 ,132.62 ,化学原料和化学制品制造业,材料
237,601808.SH,中海油服,27.22 ,0.13 ,-0.24 ,-0.87 ,-0.04 ,"5,401.20 ","147,429.62 ",47.72 ,5.50 ,"1,298.83 ",149.71 ,开采辅助活动,能源
238,601898.SH,中煤能源,8.63 ,0.13 ,-0.25 ,-2.82 ,-0.15 ,"14,681.10 ","127,853.50 ",132.59 ,15.47 ,"1,144.22 ",133.49 ,煤炭开采和洗选业,能源
239,601929.SH,吉视传媒,15.14 ,0.13 ,-0.44 ,-2.82 ,-0.15 ,"5,253.37 ","79,758.38 ",14.68 ,8.00 ,222.24 ,121.14 ,电信、广播电视和卫星传输服务,可选消费
240,000898.SZ,鞍钢股份,7.70 ,0.12 ,-0.28 ,-3.51 ,-0.17 ,"12,007.29 ","93,072.34 ",72.35 ,12.80 ,557.08 ,98.59 ,黑色金属冶炼和压延加工业,材料
241,002146.SZ,荣盛发展,22.36 ,0.12 ,-0.74 ,-3.20 ,-0.15 ,"3,565.11 ","80,317.46 ",19.05 ,5.75 ,426.02 ,128.62 ,房地产业,金融
242,002470.SZ,金正大,43.09 ,0.12 ,0.23 ,0.54 ,0.02 ,666.84 ,"28,344.60 ",7.81 ,2.07 ,336.72 ,89.32 ,化学原料和化学制品制造业,材料
243,300146.SZ,汤臣倍健,44.60 ,0.12 ,-3.16 ,-6.62 ,-0.32 ,"3,210.72 ","144,515.06 ",7.28 ,2.62 ,324.69 ,116.93 ,食品制造业,日常消费
244,600348.SH,阳泉煤业,11.23 ,0.12 ,-0.22 ,-1.92 ,-0.09 ,"8,961.07 ","101,839.98 ",24.05 ,10.02 ,270.08 ,112.52 ,煤炭开采和洗选业,能源
245,600498.SH,烽火通信,29.55 ,0.12 ,1.05 ,3.68 ,0.18 ,"3,448.37 ","100,334.42 ",9.95 ,4.71 ,294.06 ,139.27 ,计算机、通信和其他电子设备制造业,信息技术
246,600597.SH,光明乳业,19.84 ,0.12 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12.31 ,5.55 ,244.16 ,110.20 ,食品制造业,日常消费
247,600688.SH,上海石化,7.85 ,0.12 ,0.71 ,9.94 ,0.48 ,"19,690.59 ","150,730.69 ",108.00 ,18.45 ,847.80 ,144.83 ,石油加工、炼焦和核燃料加工业,能源
248,601118.SH,海南橡胶,11.43 ,0.12 ,0.01 ,0.09 ,0.00 ,"13,263.86 ","151,995.94 ",39.31 ,11.79 ,449.33 ,134.78 ,农业,日常消费
249,601699.SH,潞安环能,14.33 ,0.12 ,-0.44 ,-2.98 ,-0.15 ,"7,863.73 ","115,112.80 ",23.01 ,8.58 ,329.75 ,122.89 ,煤炭开采和洗选业,能源
250,601992.SH,金隅股份,12.88 ,0.12 ,-0.24 ,-1.83 ,-0.09 ,"8,019.06 ","103,089.74 ",47.85 ,10.27 ,616.26 ,132.27 ,非金属矿物制品业,材料
251,000027.SZ,深圳能源,15.08 ,0.11 ,0.03 ,0.20 ,0.01 ,"4,845.36 ","73,063.16 ",26.43 ,7.11 ,398.56 ,107.18 ,电力、热力生产和供应业,公用事业
252,000878.SZ,云南铜业,17.97 ,0.11 ,-0.37 ,-2.02 ,-0.09 ,"5,707.97 ","101,979.88 ",14.16 ,6.99 ,254.53 ,125.61 ,有色金属冶炼和压延加工业,材料
253,000999.SZ,华润三九,31.41 ,0.11 ,0.35 ,1.13 ,0.05 ,"1,538.49 ","47,369.72 ",9.79 ,3.55 ,307.47 ,111.58 ,医药制造业,医疗保健
254,002051.SZ,中工国际,33.89 ,0.11 ,-1.13 ,-3.23 ,-0.15 ,"2,508.85 ","85,569.41 ",7.74 ,3.10 ,262.22 ,104.90 ,土木工程建筑业,工业
255,002375.SZ,亚厦股份,32.08 ,0.11 ,-0.95 ,-2.88 ,-0.13 ,"2,116.10 ","67,775.94 ",8.92 ,3.33 ,286.18 ,106.80 ,建筑装饰和其他建筑业,工业
256,600649.SH,城投控股,7.23 ,0.11 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,29.88 ,13.26 ,216.00 ,95.87 ,房地产业,金融
257,601258.SH,庞大集团,9.98 ,0.11 ,0.06 ,0.60 ,0.03 ,"22,578.79 ","227,304.38 ",32.40 ,17.63 ,323.36 ,175.93 ,零售业,可选消费
258,601928.SH,凤凰传媒,18.08 ,0.11 ,-0.26 ,-1.42 ,-0.06 ,"4,995.79 ","90,120.21 ",25.45 ,7.10 ,460.12 ,128.35 ,新闻和出版业,可选消费
259,601958.SH,金钼股份,14.70 ,0.11 ,0.98 ,7.14 ,0.32 ,"18,598.25 ","267,486.24 ",32.27 ,8.36 ,474.31 ,122.87 ,有色金属矿采选业,材料
260,002001.SZ,新和成,20.54 ,0.10 ,1.87 ,10.02 ,0.40 ,"7,820.55 ","155,460.08 ",10.89 ,4.55 ,223.66 ,93.36 ,医药制造业,医疗保健
261,002310.SZ,东方园林,27.61 ,0.10 ,0.51 ,1.88 ,0.08 ,"2,715.12 ","75,525.12 ",10.09 ,4.17 ,278.51 ,115.00 ,土木工程建筑业,工业
262,002475.SZ,立讯精密,41.11 ,0.10 ,-1.23 ,-2.91 ,-0.12 ,693.03 ,"28,828.04 ",8.32 ,2.86 ,342.01 ,117.60 ,计算机、通信和其他电子设备制造业,信息技术
263,300015.SZ,爱尔眼科,41.57 ,0.10 ,-0.40 ,-0.95 ,-0.04 ,468.65 ,"19,490.02 ",6.55 ,1.91 ,272.19 ,79.34 ,卫生,医疗保健
264,300133.SZ,华策影视,35.18 ,0.10 ,-1.12 ,-3.09 ,-0.12 ,"1,188.76 ","41,958.58 ",6.53 ,2.78 ,229.68 ,97.83 ,广播、电视、电影和影视录音制作业,可选消费
265,600267.SH,海正药业,23.92 ,0.10 ,-0.33 ,-1.36 ,-0.06 ,"2,787.91 ","66,648.16 ",9.66 ,4.29 ,230.96 ,102.57 ,医药制造业,医疗保健
266,600277.SH,亿利能源,12.25 ,0.10 ,0.02 ,0.16 ,0.01 ,"6,755.18 ","80,933.00 ",20.90 ,8.50 ,255.97 ,104.12 ,化学原料和化学制品制造业,材料
267,600373.SH,中文传媒,20.17 ,0.10 ,-0.03 ,-0.15 ,-0.01 ,"2,069.98 ","41,116.25 ",13.78 ,4.30 ,277.93 ,86.76 ,新闻和出版业,可选消费
268,600436.SH,片仔癀,136.51 ,0.10 ,-2.25 ,-1.62 ,-0.06 ,285.48 ,"38,969.42 ",1.61 ,0.67 ,219.62 ,91.31 ,医药制造业,医疗保健
269,600648.SH,外高桥,40.02 ,0.10 ,-0.38 ,-0.94 ,-0.04 ,"1,093.04 ","43,853.76 ",11.35 ,2.08 ,454.37 ,83.28 ,批发业,工业
270,600664.SH,哈药股份,10.96 ,0.10 ,-0.10 ,-0.90 ,-0.04 ,"5,482.32 ","59,721.84 ",19.17 ,10.53 ,210.16 ,115.45 ,医药制造业,医疗保健
271,600880.SH,博瑞传播,14.61 ,0.10 ,-0.28 ,-1.88 ,-0.08 ,"4,216.70 ","61,707.41 ",10.93 ,7.27 ,159.74 ,106.14 ,新闻和出版业,可选消费
272,000401.SZ,冀东水泥,20.22 ,0.09 ,0.82 ,4.23 ,0.15 ,"5,749.92 ","112,300.42 ",13.48 ,4.24 ,272.47 ,85.83 ,非金属矿物制品业,材料
